snapshot_id,snapshot_date,destination_city
2025-09-08T11:36:14.142800Z,2025-09-08,LIS
2025-09-08T11:36:14.142800Z,2025-09-08,LON
2025-09-08T11:36:14.142800Z,2025-09-08,LPB
2025-09-08T11:36:14.142800Z,2025-09-08,MAD
2025-09-08T11:36:14.142800Z,2025-09-08,MDE
2025-09-08T11:36:14.142800Z,2025-09-08,MDQ
2025-09-08T11:36:14.142800Z,2025-09-08,MDZ
2025-09-08T11:36:14.142800Z,2025-09-08,MEX
2025-09-08T11:36:14.142800Z,2025-09-08,MIA
2025-09-08T11:36:14.142800Z,2025-09-08,MMK
2025-09-08T11:36:14.142800Z,2025-09-08,MNL
2025-09-08T11:36:14.142800Z,2025-09-08,MOW
2025-09-08T11:36:14.142800Z,2025-09-08,MSQ
2025-09-08T11:36:14.142800Z,2025-09-08,MUC
2025-09-08T11:36:14.142800Z,2025-09-08,MVD
2025-09-08T11:36:14.142800Z,2025-09-08,NHA
2025-09-08T11:36:14.142800Z,2025-09-08,NQN
2025-09-08T11:36:14.142800Z,2025-09-08,NQZ
2025-09-08T11:36:14.142800Z,2025-09-08,NYC
2025-09-08T11:36:14.142800Z,2025-09-08,OGZ
2025-09-08T11:36:14.142800Z,2025-09-08,ORL
2025-09-08T11:36:14.142800Z,2025-09-08,OVB
2025-09-08T11:36:14.142800Z,2025-09-08,PAR
2025-09-08T11:36:14.142800Z,2025-09-08,PBM
2025-09-08T11:36:14.142800Z,2025-09-08,PDP
2025-09-08T11:36:14.142800Z,2025-09-08,PEE
2025-09-08T11:36:14.142800Z,2025-09-08,PMY
2025-09-08T11:36:14.142800Z,2025-09-08,PSS
2025-09-08T11:36:14.142800Z,2025-09-08,PUQ
2025-09-08T11:36:14.142800Z,2025-09-08,RAK
2025-09-08T11:36:14.142800Z,2025-09-08,RGA
2025-09-08T11:36:14.142800Z,2025-09-08,RIO
2025-09-08T11:36:14.142800Z,2025-09-08,RMO
2025-09-08T11:36:14.142800Z,2025-09-08,ROM
2025-09-08T11:36:14.142800Z,2025-09-08,SAO
2025-09-08T11:36:14.142800Z,2025-09-08,SCL
2025-09-08T11:36:14.142800Z,2025-09-08,SDE
2025-09-08T11:36:14.142800Z,2025-09-08,SEL
2025-09-08T11:36:14.142800Z,2025-09-08,SGN
2025-09-08T11:36:14.142800Z,2025-09-08,SHA
2025-09-08T11:36:14.142800Z,2025-09-08,SHJ
2025-09-08T11:36:14.142800Z,2025-09-08,SJC
2025-09-08T11:36:14.142800Z,2025-09-08,SJU
2025-09-08T11:36:14.142800Z,2025-09-08,SLA
2025-09-08T11:36:14.142800Z,2025-09-08,SOU
2025-09-08T11:36:14.142800Z,2025-09-08,SSH
2025-09-08T11:36:14.142800Z,2025-09-08,SVX
2025-09-08T11:36:14.142800Z,2025-09-08,SWF
2025-09-08T11:36:14.142800Z,2025-09-08,SYD
2025-09-08T11:36:14.142800Z,2025-09-08,TBS
2025-09-08T11:36:14.142800Z,2025-09-08,TCI
2025-09-08T11:36:14.142800Z,2025-09-08,TGD
2025-09-08T11:36:14.142800Z,2025-09-08,TIV
2025-09-08T11:36:14.142800Z,2025-09-08,TJM
2025-09-08T11:36:14.142800Z,2025-09-08,TLL
2025-09-08T11:36:14.142800Z,2025-09-08,TOF
2025-09-08T11:36:14.142800Z,2025-09-08,TYO
2025-09-08T11:36:14.142800Z,2025-09-08,TZX
